Sample,Original.label,Treatment,Weeks.post.transplant,WBC,RBC,HGB,HCT,MCV,MCH,MCHC,PLT,MPV,RDW,Percent.Lym,Percent.Mon,Percent.Gra,Number.Lym,Number.Mon,Number.Gra,GFP
MIG.2,BMT1.MIG (REP cage 1/2),control,32,12.2,9.25,14.1,44,48,15.3,32.1,636,6.3,15.2,NA,NA,NA,5.6,1.1,5.5,81
MIG.3,BMT1.MIG (BEP cage 2/2),control,32,7.7,6.96,12.4,37.4,54,17.9,33.3,67,8.5,17.4,NA,NA,NA,2.4,0.8,4.5,93.6
MIG.4,BMT1.MIG (REP cage 2/2),control,32,3,8.85,13.8,41.8,47,15.6,33,943,5.9,16.1,NA,NA,NA,1.4,0.2,1.4,72.5
MIG.5,BMT2.MIG (cage 2/2 BEP),control,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIG.6,BMT2.MIG (cage 2/2 LEP),control,33,5.7,9.41,13.8,43.2,46,14.6,31.9,890,5.8,15.3,NA,NA,NA,2.9,0.5,2.3,65.5
MIG.7,BMT2.MIG (cage 1/2 LEP),control,33,8.7,9.58,14.7,44.1,46,15.4,33.4,1090,6.4,15.7,NA,NA,NA,5.5,0.6,2.6,52.2
MIG.8,BMT2.MIG (cage 1/2 BEP),control,33,9.6,6.56,11.7,35.7,54,17.9,32.8,521,6.8,18.2,NA,NA,NA,4.5,0.8,4.3,90.1
MIG.9,BMT2.MIG (cage 2/2 NEP),control,33,5.6,8.33,12.9,39.1,47,15.5,33,1940,6.2,16.1,NA,NA,NA,2.9,0.5,2.2,91.9
MIG.10,BMT2.MIG (cage 2/2 REP),control,33,4.9,10.59,14.8,46.2,44,14,32,682,6.5,14.9,NA,NA,NA,2.5,0.4,2,95.6
MIG.11,BMT2.MIG (cage 1/2 REP),control,33,6.6,8.47,13.3,40.4,48,15.7,32.9,329,7.7,16.9,NA,NA,NA,3.7,0.6,2.3,45.9
miR532.1,BMT2.532-OE (cage 4/4 REP),miR-532,33,5.3,9.68,14.1,43.9,45,14.6,32.1,720,6.6,15.7,NA,NA,NA,2.3,0.5,2.5,70.9
miR532.2,BMT2.532-OE (cage 3/4 LEP),miR-532,33,5.7,9.23,14.2,43,47,15.4,33,1011,6.2,15,NA,NA,NA,3,0.5,2.2,20.5
miR532.3,BMT2.532-OE (cage 1/4 LEP),miR-532,33,6.6,10.53,16.1,49.3,47,15.2,32.6,795,6.4,14.4,NA,NA,NA,3,0.6,3,70.6
miR532.4,BMT2.532-OE (cage 2/4 LEP),miR-532,33,5.4,9.61,14.8,44.8,47,15.4,33,700,5.9,14.9,NA,NA,NA,2.9,0.4,2.1,58.7
miR532.5,BMT2.532-OE (cage 1/4 REP),miR-532,33,4.6,11.02,15.9,49.6,45,14.4,31.9,1261,5.8,14.1,NA,NA,NA,2.8,0.4,1.4,13.2
miR532.6,BMT2.532-OE (cage 1/4 NEP),miR-532,33,4.1,9.81,14.4,43.8,45,14.7,32.9,936,6.4,15.8,NA,NA,NA,1.7,0.2,2.2,39.6
miR532.7,"BMT2.532-OE (cage 2/4, BEP)",miR-532,33,4.6,9.45,14.2,43.9,47,15,32.3,999,5.9,15.1,NA,NA,NA,2.3,0.3,2,46.6
miR532.8,BMT2.532-OE (cage 3/4 BEP),miR-532,33,3.2,6.58,11.9,35.8,54,18.1,33.2,1315,6.5,16.9,NA,NA,NA,2,0.3,0.9,27
miR532.9,BMT2.532-OE (cage 3/4 REP),miR-532,33,7.2,9.94,14.1,44,44,14.2,32,1065,6.1,15.9,NA,NA,NA,3.4,0.6,3.2,23.4
miR532.10,BMT2.532-OE (cage 2/4 NEP),miR-532,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
miR532.11,BMT2.532-OE (cage 4/4 LEP),miR-532,33,6.4,8.74,13.5,40.9,47,15.5,33.1,593,6.7,14.9,NA,NA,NA,3.8,0.5,2.1,40.5
miR532.12,BMT2.532-OE (cage 4/4 BEP),miR-532,33,3.5,9.37,14,42.9,46,14.9,32.6,709,5.6,15,NA,NA,NA,1.6,0.3,1.6,84.3
miR532.13,BMT2.532-OE (cage 4/4 NEP),miR-532,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
miR532.14,BMT2.532-OE (cage 3/4 NEP),miR-532,33,6,9.5,14.4,43.6,46,15.2,33.1,787,6.1,14.8,NA,NA,NA,3.4,0.5,2.1,26.3
miR532.15,BMT2.532-OE (cage 2/4 REP),miR-532,33,3.3,6.66,11.7,35.6,53,17.6,32.8,705,6.6,16.3,NA,NA,NA,1.9,0.2,1.2,52.5
miR532.16,BMT2.532-OE (cage 1/4 BEP),miR-532,33,7,8.98,13,39.2,44,14.5,33.2,1365,6.1,18,NA,NA,NA,2.5,0.4,4.1,60
miR532.16,BMT2.532-OE (cage 1/4 BEP),miR-532,36,6,8.46,12.3,36.9,44,14.5,33.3,550,7.7,16.9,NA,NA,NA,0.8,0.2,5,NA
MIG.1,BMT1.MIG (NEP cage 1/2),control,39,15.7,9.24,14.6,44.6,48,15.8,32.8,765,6.6,14.7,NA,NA,NA,6.4,1.3,8,61.7
MIG.2,BMT1.MIG (REP cage 1/2),control,39,10.5,9.03,13.7,42.5,47,15.2,32.2,524,6.3,15.8,NA,NA,NA,4.4,1,5.1,79
MIG.3,BMT1.MIG (BEP cage 2/2),control,39,11.4,6.25,11.5,35.1,56,18.4,32.8,457,6.7,17.7,NA,NA,NA,3.7,1.3,6.4,93
MIG.4,BMT1.MIG (REP cage 2/2),control,39,3.8,9.05,13.6,41.5,46,15,32.7,920,5.9,15.7,NA,NA,NA,1.5,0.3,2,51.5
miR532.15,BMT2.532-OE (cage 2/4 REP),miR-532,39,136,3.06,5.8,20.4,67,19.1,28.6,697,6.3,17.4,NA,NA,NA,54,16.5,65.5,29.4
miR532.1,BMT2.532-OE (cage 4/4 REP),miR-532,45,14.3,5.14,7.9,26,51,15.4,30.4,693,11.2,26.3,NA,NA,NA,2.9,0.9,10.5,77.7
MIG.1,BMT1.MIG (NEP cage 1/2),control,46,11.1,8.62,13.5,41.3,48,15.7,32.8,1329,6.2,15.1,NA,NA,NA,5.5,1.1,4.5,77.3
MIG.2,BMT1.MIG (REP cage 1/2),control,46,9.9,8.3,13.5,40.4,49,16.2,33.3,729,6.9,15.2,NA,NA,NA,4.5,0.9,4.5,79.6
MIG.3,BMT1.MIG (BEP cage 2/2),control,46,29.4,3.39,7.6,21.7,64,22.6,35.3,381,6.9,17.6,NA,NA,NA,6,3.4,20,96
MIG.4,BMT1.MIG (REP cage 2/2),control,46,4.9,8.44,13.2,39.2,46,15.6,33.6,1086,5.8,15.3,NA,NA,NA,1.3,0.3,3.3,56.6
MIG.5,BMT2.MIG (cage 2/2 BEP),control,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIG.6,BMT2.MIG (cage 2/2 LEP),control,48,9.7,9.22,14.2,41.3,45,15.4,34.4,877,6.2,15.1,NA,NA,NA,4,0.6,5.1,54
MIG.7,BMT2.MIG (cage 1/2 LEP),control,48,6.3,6.97,11.9,35.9,52,17,33.1,913,6.9,17.8,NA,NA,NA,2.1,0.5,3.7,64.1
MIG.8,BMT2.MIG (cage 1/2 BEP),control,48,80,2.89,6.2,20,69,21.4,30.9,13,7.1,17.8,NA,NA,NA,,,,96.7
MIG.9,BMT2.MIG (cage 2/2 NEP),control,48,5,6.45,11,33.2,51,17,33.1,1696,6.4,17.3,NA,NA,NA,2,0.4,2.6,87.4
MIG.10,BMT2.MIG (cage 2/2 REP),control,48,3.5,8.4,12.6,39.1,47,15,32.1,510,6.8,15.5,NA,NA,NA,1.4,0.4,1.7,95.7
MIG.11,BMT2.MIG (cage 1/2 REP),control,48,6.5,9.25,13.6,41.9,45,14.7,32.4,624,6.4,15.5,NA,NA,NA,3.5,0.4,2.6,38.5
miR532.1,BMT2.532-OE (cage 4/4 REP),miR-532,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
